"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"EC058","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di miscela corrosiva (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di miscela corrosiva",,"1.00","Etichette-grandi-per-tubazioni-di-miscela-corrosiva.jpg",FALSO,FALSO,"SMR","N011",,
"EC059","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di miscela corrosiva (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di miscela corrosiva",,"32.80","Etichette-grandi-per-tubazioni-di-miscela-corrosiva.jpg",FALSO,FALSO,"SMR","N011",,
"EC060","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di miscela inerte (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di miscela inerte",,"1.00","Etichette-piccole-per-tubazioni-di-miscela-inerte.jpg",FALSO,FALSO,"SMR","N011",,
"EC061","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di miscela inerte (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di miscela inerte",,"32.80","Etichette-piccole-per-tubazioni-di-miscela-inerte.jpg",FALSO,FALSO,"SMR","N011",,
"EC062","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di miscela infiammabile (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di mix. infiammabile",,"1.00","Etichette-piccole-per-tubazioni-di-miscela-infiammabile.jpg",FALSO,FALSO,"SMR","N011",,
"EC063","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di miscela infiammabile (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di mix. infiammabile",,"32.80","Etichette-piccole-per-tubazioni-di-miscela-infiammabile.jpg",FALSO,FALSO,"SMR","N011",,
"EC064","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di miscela ossidante (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di miscela ossidante",,"1.00","Etichette-grandi-per-tubazioni-di-miscela-ossidante.jpg",FALSO,FALSO,"SMR","N011",,
"EC065","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di miscela ossidante (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di miscela ossidante",,"32.80","Etichette-grandi-per-tubazioni-di-miscela-ossidante.jpg",FALSO,FALSO,"SMR","N011",,
"EC066","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di miscela tossica (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di miscela tossica",,"1.00","Etichette-grandi-per-tubazioni-di-miscela-tossica.jpg",FALSO,FALSO,"SMR","N011",,
"EC067","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di miscela tossica (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di miscela tossica",,"32.80","Etichette-grandi-per-tubazioni-di-miscela-tossica.jpg",FALSO,FALSO,"SMR","N011",,
"EC068","Italy","Etichette, collari","Etichette tubazioni","Etichette piccole per tubazioni di protossido di azoto industriale (20 fogli da 5 pezzi ciascuno)","Etichette piccole per tubazioni di N2O industriale",,"1.00","Etichette-grandi-per-tubazioni-di-protossido-di-azoto-industriale.jpg",FALSO,FALSO,"SMR","N011",,
"EC069","Italy","Etichette, collari","Etichette tubazioni","Etichette grandi per tubazioni di protossido di azoto industriale (20 fogli da 4 pezzi ciascuno)","Etichette grandi per tubazioni di N2O industriale",,"32.80","Etichette-grandi-per-tubazioni-di-protossido-di-azoto-industriale.jpg",FALSO,FALSO,"SMR","N011",,
"EC070","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola standard da 1 litro in acciaio","Etich. x bb O2 con valvola standard da 1 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC071","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola standard da 2 litri in acciaio","Etich. x bb O2 con valvola standard da 2 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC072","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola standard da 3 litri in acciaio","Etich. x bb O2 con valvola standard da 3 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC073","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola standard da 5 litri in acciaio","Etich. x bb O2 con valvola standard da 5 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC074","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola standard da 7 litri in acciaio","Etich. x bb O2 con valvola standard da 7 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC075","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola standard da 10 litri in acciaio","Etich. x bb O2 con valv. standard da 10 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC076","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola standard da 14 litri in acciaio","Etich. x bb O2 con valv. standard da 14 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC077","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola standard da 14 litri in alluminio","Etich. x bb O2 con valv. std. da 14 l in alluminio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC078","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola standard da 27 litri in acciaio","Etich. x bb O2 con valv. standard da 27 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC079","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola standard da 40 litri in acciaio","Etich. x bb O2 con valv. standard da 40 l in acciaio",50,"12.00","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC080","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola standard da 50 litri in acciaio","Etich. x bb O2 con valv. standard da 50 l in acciaio",50,"12.00","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC081","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola riduttrice da 2 litri in alluminio","Etich. x bb O2 con valv. riduttr. da 2 l in alluminio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC082","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola riduttrice da 3 litri in acciaio","Etich. x bb O2 con valvola riduttr. da 3 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC083","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola riduttrice da 5 litri in acciaio","Etich. x bb O2 con valvola riduttr. da 5 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC084","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola riduttrice da 5 litri in alluminio","Etich. x bb O2 con valv. riduttr. da 5 l in alluminio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC085","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola riduttrice da 7 litri in acciaio","Etich. x bb O2 con valvola riduttr. da 7 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC086","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola riduttrice da 14 litri in alluminio","Etich. x bb O2 valv. riduttr. da 14 l in alluminio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC087","Italy","Etichette AIC","AIC ossigeno","Etichette per bombole di ossigeno con valvola riduttrice da 14 litri in acciaio","Etich. x bb O2 valvola riduttr. da 14 l in acciaio",50,"7.50","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
"EC088","Italy","Etichette AIC","AIC ossigeno","Etichette per pacchi di ossigeno da 9 bombole","Etichette per pacchi O2 da 9 bombole",50,"12.00","Etichette-per-bombole-di-ossigeno-con-valvola-riduttrice.jpg",FALSO,FALSO,"SMR","N011",,
