"Object","ID","Country","Categoria","Tipologia","Gruppo","Gas","Prodotto","Applicazione","Confezione","Photo","Prezzo"
27926,"ADR0081","Italy","Etichette ADR","Monogas","Monogas","Azoto","Azoto compresso","Bundle",25,"ADR_Bundle_Azoto-compresso_small.jpg||ADR_Bundle_Azoto-compresso_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27927,"ADR0082","Italy","Etichette ADR","Monogas","Monogas","Azoto","Azoto compresso E941","Bundle",25,"ADR_Bundle_Azoto-compresso-E941_small.jpg||ADR_Bundle_Azoto-compresso-E941_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27928,"ADR0083","Italy","Etichette ADR","Monogas","Monogas","Azoto","Azoto liquido refrigerato","Bundle",25,"ADR_Bundle_Azoto-liquido-refrigerato_small.jpg||ADR_Bundle_Azoto-liquido-refrigerato_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27929,"ADR0084","Italy","Etichette ADR","Monogas","Monogas","Argon","Argon compresso","Bundle",25,"ADR_Bundle_Azoto-liquido-refrigerato_small.jpg||ADR_Bundle_Azoto-liquido-refrigerato_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27930,"ADR0085","Italy","Etichette ADR","Monogas","Monogas","Argon","Argon compresso E938","Bundle",25,"ADR_Bundle_Argon-compresso-E938_small.jpg||ADR_Bundle_Argon-compresso-E938_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27931,"ADR0086","Italy","Etichette ADR","Monogas","Monogas","Elio","Elio compresso","Bundle",25,"ADR_Bundle_Elio-compresso_small.jpg||ADR_Bundle_Elio-compresso_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27932,"ADR0087","Italy","Etichette ADR","Monogas","Monogas","Elio","Elio liquido refrigerato","Bundle",25,"ADR_Bundle_Elio-liquido-refrigerato_small.jpg||ADR_Bundle_Elio-liquido-refrigerato_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27933,"ADR0088","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix AX155","Bundle",25,"ADR_Bundle_Enermix-AX-155_small.jpg||ADR_Bundle_Enermix-AX-155_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27934,"ADR0089","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix C3","Bundle",25,"ADR_Bundle_Enermix-C3_small.jpg||ADR_Bundle_Enermix-C3_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27935,"ADR0090","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix C5","Bundle",25,"ADR_Bundle_Enermix-C5_small.jpg||ADR_Bundle_Enermix-C5_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27936,"ADR0091","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix C10","Bundle",25,"ADR_Bundle_Enermix-C10_small.jpg||ADR_Bundle_Enermix-C10_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27937,"ADR0092","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix C15","Bundle",25,"ADR_Bundle_Enermix-C15_small.jpg||ADR_Bundle_Enermix-C15_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27938,"ADR0093","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix C18","Bundle",25,"ADR_Bundle_Enermix-C18_small.jpg||ADR_Bundle_Enermix-C18_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27939,"ADR0094","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix C20","Bundle",25,"ADR_Bundle_Enermix-C20_small.jpg||ADR_Bundle_Enermix-C20_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27940,"ADR0095","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix OX3","Bundle",25,"ADR_Bundle_Enermix-OX3_small.jpg||ADR_Bundle_Enermix-OX3_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27941,"ADR0096","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix 3A","Bundle",25,"ADR_Bundle_Enermix-3A_small.jpg||ADR_Bundle_Enermix-3A_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
27942,"ADR0097","Italy","Etichette ADR","Miscele","Enermix inerti","Enermix","Enermix 3D","Bundle",25,"ADR_Bundle_Enermix-3D_small.jpg||ADR_Bundle_Enermix-3D_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg","7.50"
