"Object","Object","ID","Country","Categoria","Settore","DescrEn","Prodotto","Confezione","Prezzo","Photo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
28426,11478,"AU0048","Italy","Accessori ufficio","Nastro adesivo, acc.","Nastro adesivo Scotch 508 19x33mt.","Nastro adesivo Scotch 508 19x33mt.",8,"2.35","Nastro-adesivo-Scotch-508-19x33mt.jpg",VERO,FALSO,"SMR","N010",,
28427,11479,"AU0049","Italy","Accessori ufficio","Nastro adesivo, acc.","Nastro adesivo Scotch 508 19x66mt.","Nastro adesivo Scotch 508 19x66mt.",8,"3.54","Nastro-adesivo-Scotch-508-19x66mt.jpg",VERO,FALSO,"SMR","N010",,
28428,11480,"AU0050","Italy","Accessori ufficio","Nastro adesivo, acc.","Dispenser da tavolo nastro 19x33","Dispenser da tavolo nastro 19x33",1,"1.22","Dispenser-da-tavolo-nastro-19x33.jpg",VERO,FALSO,"SMR","N010",,
28429,11481,"AU0051","Italy","Accessori ufficio","Timbri, acc.","Portatimbri rotondo 6 posti","Portatimbri rotondo 6 posti",1,"2.21","Portatimbri-rotondo-6-posti.JPG",VERO,FALSO,"SMR","N010",,
28430,11482,"AU0052","Italy","Accessori ufficio","Timbri, acc.","Portatimbri rotondo 12 posti","Portatimbri rotondo 12 posti",1,"2.43","Portatimbri-rotondo-12-posti.jpg",VERO,FALSO,"SMR","N010",,
28431,11483,"AU0053","Italy","Accessori ufficio","Timbri, acc.","Portatimbri lineare 12 posti","Portatimbri lineare 12 posti",1,"3.69","Portatimbri-lineare-12-posti.JPG",VERO,FALSO,"SMR","N010",,
28432,11484,"AU0054","Italy","Accessori ufficio","Timbri, acc.","Inchiostro per timbri blu","Inchiostro per timbri blu",1,"0.83","Inchiostro-per-timbri-rosso-nero-blu.jpg",VERO,FALSO,"SMR","N010",,
28433,11485,"AU0055","Italy","Accessori ufficio","Timbri, acc.","Inchiostro per timbri nero","Inchiostro per timbri nero",1,"0.83","Inchiostro-per-timbri-rosso-nero-blu.jpg",VERO,FALSO,"SMR","N010",,
28434,11486,"AU0056","Italy","Accessori ufficio","Timbri, acc.","Inchiostro per timbri rosso","Inchiostro per timbri rosso",1,"0.83","Inchiostro-per-timbri-rosso-nero-blu.jpg",VERO,FALSO,"SMR","N010",,
28435,11487,"AU0057","Italy","Accessori ufficio","Timbri, acc.","Inchiostro per timbri nero ad olio","Inchiostro per timbri nero ad olio",1,"1.73","Inchiostro-per-timbri-nero-ad-olio.jpg",VERO,FALSO,"SMR","N010",,
28436,11488,"AU0058","Italy","Accessori ufficio","Timbri, acc.","Cuscinetto per timbri 7x11 blu","Cuscinetto per timbri 7x11 blu",1,"2.36","Cuscinetto-per-timbri-7x11-nero-rosso-nero.jpg",VERO,FALSO,"SMR","N010",,
28437,11489,"AU0059","Italy","Accessori ufficio","Timbri, acc.","Cuscinetto per timbri 7x11 nero","Cuscinetto per timbri 7x11 nero",1,"2.36","Cuscinetto-per-timbri-7x11-nero-rosso-nero.jpg",VERO,FALSO,"SMR","N010",,
28438,11490,"AU0060","Italy","Accessori ufficio","Timbri, acc.","Cuscinetto per timbri 7x11 rosso","Cuscinetto per timbri 7x11 rosso",1,"2.36","Cuscinetto-per-timbri-7x11-nero-rosso-nero.jpg",VERO,FALSO,"SMR","N010",,
28439,11491,"AU0061","Italy","Accessori ufficio","Timbri, acc.","Datario in gomma mm5","Datario in gomma mm5",1,"2.16","Datario-in-gomma-mm5.jpg",VERO,FALSO,"SMR","N010",,
28440,11492,"AU0062","Italy","Accessori ufficio","Timbri, acc.","Numeratore automatico 3887","Numeratore automatico 3887",1,"97.30","Numeratore-automatico-3887.jpg",VERO,FALSO,"SMR","N010",,
28441,11493,"AU0063","Italy","Accessori ufficio","Timbri, acc.","Feltri di ricambio per numeratore","Feltri di ricambio per numeratore",1,"5.37","Feltro-per-Colop-printer-30.jpg",VERO,FALSO,"SMR","N010",,
28442,11494,"AU0064","Italy","Accessori ufficio","Timbri, acc.","Feltro per Colop printer 30","Feltro per Colop printer 30",1,"5.37","Feltro-per-Colop-printer-30.jpg",VERO,FALSO,"SMR","N010",,
28443,11495,"AU0065","Italy","Accessori ufficio","Timbri, acc.","Feltro per Colop printer 20","Feltro per Colop printer 20",1,"5.37","Feltro-per-Colop-printer-20.jpg",VERO,FALSO,"SMR","N010",,
28444,11496,"AU0066","Italy","Accessori ufficio","Timbri, acc.","Tamponcini di ricambio Trodat 4912","Tamponcini di ricambio Trodat 4912",2,"5.21","Tamponcini-di-ricambio-Trodat-4912.jpg",VERO,FALSO,"SMR","N010",,
28445,11497,"AU0067","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr NERO","Cartoncino per rilegatura 270 gr NERO",100,"4.74","Cartoncino-per-rilegatura.jpg",VERO,FALSO,"SMR","N010",,
28446,11498,"AU0068","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr BLU","Cartoncino per rilegatura 270 gr BLU",100,"4.74","Cartoncino-per-rilegatura.jpg",VERO,FALSO,"SMR","N010",,
28447,11499,"AU0069","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr GIALLO","Cartoncino per rilegatura 270 gr GIALLO",100,"4.74","Cartoncino-per-rilegatura.jpg",VERO,FALSO,"SMR","N010",,
28448,11500,"AU0070","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr BIANCO","Cartoncino per rilegatura 270 gr BIANCO",100,"4.74","Cartoncino-per-rilegatura.jpg",VERO,FALSO,"SMR","N010",,
28449,11501,"AU0071","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr VERDE","Cartoncino per rilegatura 270 gr VERDE",100,"4.74","Cartoncino-per-rilegatura.jpg",VERO,FALSO,"SMR","N010",,
28450,11502,"AU0072","Italy","Archivio, organizzazione","Acc. rilegatura","Cartoncino per rilegatura 270 gr ROSSO","Cartoncino per rilegatura 270 gr ROSSO",100,"4.74","Cartoncino-per-rilegatura.jpg",VERO,FALSO,"SMR","N010",,
28451,11503,"AU0073","Italy","Archivio, organizzazione","Acc. rilegatura","Copertina flessibile per rilegatura Channel AA","Copertina flessibile per rilegatura Channel AA",10,"16.18","Copertina-flessibile-per-rilegatura-Channel-AA.jpg",VERO,FALSO,"SMR","N010",,
28452,11504,"AU0074","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 6 tondo","Spirale in plastica ad anelli mm 6 tondo",100,"2.97","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
28453,11505,"AU0075","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 8 tondo","Spirale in plastica ad anelli mm 8 tondo",100,"3.99","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
28454,11506,"AU0076","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 10 tondo","Spirale in plastica ad anelli mm 10 tondo",100,"4.73","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
28455,11507,"AU0077","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 14 tondo","Spirale in plastica ad anelli mm 14 tondo",100,"8.67","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
28456,11508,"AU0078","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 16 tondo","Spirale in plastica ad anelli mm 16 tondo",100,"7.53","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
28457,11509,"AU0079","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 19 tondo","Spirale in plastica ad anelli mm 19 tondo",100,"4.89","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
28458,11510,"AU0080","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 25 tondo","Spirale in plastica ad anelli mm 25 tondo",100,"9.45","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
28459,11511,"AU0081","Italy","Archivio, organizzazione","Acc. rilegatura","Copertina A4 trasparente","Copertina A4 trasparente",200,"4.85","Copertina-A4-trasparente.jpg",VERO,FALSO,"SMR","N010",,
28460,11512,"AU0082","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm12 tondo","Spirale in plastica ad anelli mm12 tondo",100,"4.77","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
28461,11513,"AU0083","Italy","Archivio, organizzazione","Acc. rilegatura","Pouches adesive peel'n'stick","Pouches adesive peel'n'stick",100,"50.30","Pouches-adesive-peel'n'stick.jpg",VERO,FALSO,"SMR","N010",,
28462,11514,"AU0084","Italy","Archivio, organizzazione","Acc. rilegatura","Spirale in plastica ad anelli mm 22 tondo","Spirale in plastica ad anelli mm 22 tondo",100,"6.04","Spirale-in-plastica-ad-anelli.jpg",VERO,FALSO,"SMR","N010",,
28463,11515,"AU0085","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa armadio V 33 cm","Cartella sospesa armadio V 33 cm",50,"13.00","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
28464,11516,"AU0086","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa armadio U 33 cm","Cartella sospesa armadio U 33 cm",50,"17.50","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
28465,11517,"AU0087","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto V 33 cm","Cartella sospesa cassetto V 33 cm",50,"13.00","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
28466,11518,"AU0088","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto U 33 cm","Cartella sospesa cassetto U 33 cm",50,"17.50","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
28467,11519,"AU0089","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto V 39.5 cm","Cartella sospesa cassetto V 39.5 cm",50,"17.50","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
28468,11520,"AU0090","Italy","Archivio, organizzazione","Cartelle sospese","Cartella sospesa cassetto U 39.5 cm","Cartella sospesa cassetto U 39.5 cm",50,"17.50","Cartella-sospesa-cassetto_armadio.jpg",VERO,FALSO,"SMR","N010",,
28469,11521,"AU0091","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr rosso","Cartella manilla semplice senza lembi 190 gr rosso",50,"5.63","Cartella-manilla-semplice-senza-lembi.jpg",VERO,FALSO,"SMR","N010",,
28470,11522,"AU0092","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr azzurrro","Cartella manilla semplice senza lembi 190 gr azzurrro",50,"5.63","Cartella-manilla-semplice-senza-lembi.jpg",VERO,FALSO,"SMR","N010",,
28471,11523,"AU0093","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr verde","Cartella manilla semplice senza lembi 190 gr verde",50,"5.63","Cartella-manilla-semplice-senza-lembi.jpg",VERO,FALSO,"SMR","N010",,
28472,11524,"AU0094","Italy","Archivio, organizzazione","Cartelline","Cartella manilla semplice senza lembi 190 gr giallo","Cartella manilla semplice senza lembi 190 gr giallo",50,"5.63","Cartella-manilla-semplice-senza-lembi.jpg",VERO,FALSO,"SMR","N010",,
28473,11525,"AU0095","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi rosso","Cartella manilla tre lembi rosso",50,"3.80","Cartella-manilla-tre-lembi.jpg",VERO,FALSO,"SMR","N010",,
28474,11526,"AU0096","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi verde","Cartella manilla tre lembi verde",50,"3.80","Cartella-manilla-tre-lembi.jpg",VERO,FALSO,"SMR","N010",,
28475,11527,"AU0097","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi giallo","Cartella manilla tre lembi giallo",50,"3.80","Cartella-manilla-tre-lembi.jpg",VERO,FALSO,"SMR","N010",,
28476,11528,"AU0098","Italy","Archivio, organizzazione","Cartelline","Cartella manilla tre lembi azzurro","Cartella manilla tre lembi azzurro",50,"3.80","Cartella-manilla-tre-lembi.jpg",VERO,FALSO,"SMR","N010",,
28477,11529,"AU0099","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm rosso","Cartellina presentazione con molla dorso 8mm rosso",5,"2.55","Cartellina-presentazione-con-molla-dorso-8mm.jpg",VERO,FALSO,"SMR","N010",,
28478,11530,"AU0100","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm verde","Cartellina presentazione con molla dorso 8mm verde",5,"2.55","Cartellina-presentazione-con-molla-dorso-8mm.jpg",VERO,FALSO,"SMR","N010",,
28479,11531,"AU0101","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm giallo","Cartellina presentazione con molla dorso 8mm giallo",5,"2.55","Cartellina-presentazione-con-molla-dorso-8mm.jpg",VERO,FALSO,"SMR","N010",,
28480,11532,"AU0102","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm azzurro","Cartellina presentazione con molla dorso 8mm azzurro",5,"2.55","Cartellina-presentazione-con-molla-dorso-8mm.jpg",VERO,FALSO,"SMR","N010",,
28481,11533,"AU0103","Italy","Archivio, organizzazione","Cartelline","Cartellina presentazione con molla dorso 8mm bianco","Cartellina presentazione con molla dorso 8mm bianco",5,"2.55","Cartellina-presentazione-con-molla-dorso-8mm.jpg",VERO,FALSO,"SMR","N010",,
28482,11534,"AU0104","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco rosso","Cartellina full con tasca Acco rosso",5,"1.35","Cartellina-full-con-tasca-Acco.jpg",VERO,FALSO,"SMR","N010",,
28483,11535,"AU0105","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco verde","Cartellina full con tasca Acco verde",5,"1.35","Cartellina-full-con-tasca-Acco.jpg",VERO,FALSO,"SMR","N010",,
28484,11536,"AU0106","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco giallo","Cartellina full con tasca Acco giallo",5,"1.35","Cartellina-full-con-tasca-Acco.jpg",VERO,FALSO,"SMR","N010",,
28485,11537,"AU0107","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco azzurro","Cartellina full con tasca Acco azzurro",5,"1.35","Cartellina-full-con-tasca-Acco.jpg",VERO,FALSO,"SMR","N010",,
28486,11538,"AU0108","Italy","Archivio, organizzazione","Cartelline","Cartellina full con tasca Acco trasparente","Cartellina full con tasca Acco trasparente",5,"1.35","Cartellina-full-con-tasca-Acco.jpg",VERO,FALSO,"SMR","N010",,
28487,11539,"AU0109","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi blu","Cartella con elastico a 3 lembi blu",10,"6.34","Cartella-con-elastico-a-3-lembi.jpg",VERO,FALSO,"SMR","N010",,
28488,11540,"AU0110","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi rosso","Cartella con elastico a 3 lembi rosso",10,"6.34","Cartella-con-elastico-a-3-lembi.jpg",VERO,FALSO,"SMR","N010",,
28489,11541,"AU0111","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi verde","Cartella con elastico a 3 lembi verde",10,"6.34","Cartella-con-elastico-a-3-lembi.jpg",VERO,FALSO,"SMR","N010",,
28490,11542,"AU0112","Italy","Archivio, organizzazione","Cartelline","Cartella con elastico a 3 lembi giallo","Cartella con elastico a 3 lembi giallo",10,"6.34","Cartella-con-elastico-a-3-lembi.jpg",VERO,FALSO,"SMR","N010",,
28491,11543,"AU0113","Italy","Archivio, organizzazione","Cartelline","Cartellina blu 21x30 con fermaglio","Cartellina blu 21x30 con fermaglio",10,"1.80","Cartellina-21x30-con-fermaglio.jpg",VERO,FALSO,"SMR","N010",,
28492,11544,"AU0114","Italy","Archivio, organizzazione","Cartelline","Cartellina rossa 21x30 con fermaglio","Cartellina rossa 21x30 con fermaglio",10,"1.80","Cartellina-21x30-con-fermaglio.jpg",VERO,FALSO,"SMR","N010",,
28493,11545,"AU0115","Italy","Archivio, organizzazione","Cartelline","Cartellina verde 21x30 con fermaglio","Cartellina verde 21x30 con fermaglio",10,"1.80","Cartellina-21x30-con-fermaglio.jpg",VERO,FALSO,"SMR","N010",,
28494,11546,"AU0116","Italy","Archivio, organizzazione","Cartelline","Cartellina gialla 21x30 con fermaglio","Cartellina gialla 21x30 con fermaglio",10,"1.80","Cartellina-21x30-con-fermaglio.jpg",VERO,FALSO,"SMR","N010",,
