"Object","ID","Country","Categoria","Settore","Applicazione","Prodotto eng","Prodotto","Confezione","Photo","Prezzo"
27909,"ADR0064","Italy","Etichette ADR","Monogas","Bombola","Ossido di etilene","Ossido di etilene",100,"ADR_Ossido-di-etilene_small.jpg||ADR_Ossido-di-etilene_large.jpg||ADR_Bombola_tox-5-photo_large.jpg",
27910,"ADR0065","Italy","Etichette ADR","Monogas","Bombola","Solfuro di idrogeno","Solfuro di idrogeno",100,"ADR_Solfuro-di-idrogeno_small.jpg||ADR_Solfuro-di-idrogeno_large.jpg||ADR_Bombola_tox-5-photo_large.jpg",
27911,"ADR0066","Italy","Etichette ADR","Monogas","Bombola","Tetrossido di diazoto","Tetrossido di diazoto",100,"ADR_Tetrossido-di-diazoto_small.jpg||ADR_Tetrossido-di-diazoto_large.jpg||ADR_Bombola_tox-4-photo_large.jpg",
27912,"ADR0067","Italy","Etichette ADR","Monogas","Bombola","Gas puro","Gas puro",100,"ADR_gas-puro_small.jpg||ADR_gas-puro_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27913,"ADR0068","Italy","Etichette ADR","Monogas","Bombola","Gas purissimo","Gas purissimo",100,"ADR_gas-purissimo_small.jpg||ADR_gas-purissimo_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27914,"ADR0069","Italy","Etichette ADR","Monogas","Bombola","Gas ultra puro","Gas ultra puro",100,"ADR_gas-ultra-puro_small.jpg||ADR_gas-ultra-puro_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27915,"ADR0070","Italy","Etichette ADR","Monogas","Bombola","Grado elettronica","Grado elettronica",100,"ADR_grado-elettronica_small.jpg||ADR_grado-elettronica_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27916,"ADR0071","Italy","Etichette ADR","Monogas","Bombola","Grado megabit","Grado megabit",100,"ADR_grado-megabit_small.jpg||ADR_grado-megabit_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27917,"ADR0072","Italy","Etichette ADR","Monogas","Bombola","Grado ricerche","Grado ricerche",100,"ADR_grado-ricerche_small.jpg||ADR_grado-ricerche_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27918,"ADR0073","Italy","Etichette ADR","Monogas","Bombola","Grado ricerche extra","Grado ricerche extra",100,"ADR_grado-ricerche-extra_small.jpg||ADR_grado-ricerche-extra_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27919,"ADR0074","Italy","Etichette ADR","Monogas","Bombola","Compliant HACCP","Compliant HACCP",100,"ADR_compliant-HACCP_small.jpg||ADR_compliant-HACCP_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27920,"ADR0075","Italy","Etichette ADR","Monogas","Bombola","HE300","HE300",100,"ADR_HE300_small.jpg||ADR_HE300_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27921,"ADR0076","Italy","Etichette ADR","Monogas","Bombola","Industriale puro","Industriale puro",100,"ADR_industriale-puro_small.jpg||ADR_industriale-puro_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27922,"ADR0077","Italy","Etichette ADR","Monogas","Bombola","Applicazioni laser","Applicazioni laser",100,"ADR_Applicazioni-laser_small.jpg||ADR_Applicazioni-laser_large.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27923,"ADR0078","Italy","Etichette ADR","Monogas","Bombola","laser","laser",100,"ADR_Laser_small.jpg||ADR_Laser_small.jpg||ADR_Bombola_gas-puro-photo_large.jpg",
27924,"ADR0079","Italy","Etichette ADR","Monogas","Bundle","Diossido di carbonio (anidride carbonica)","Diossido di carbonio (anidride carbonica)",25,"ADR_Bundle_Diossido-di-carbonio_small.jpg||ADR_Bundle_Diossido-di-carbonio_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27925,"ADR0080","Italy","Etichette ADR","Monogas","Bundle","Diossido di carbonio E290 (anidride carbonica)","Diossido di carbonio E290 (anidride carbonica)",25,"ADR_Bundle_Diossido-di-carbonio-E290_small.jpg||ADR_Bundle_Diossido-di-carbonio-E290_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27926,"ADR0081","Italy","Etichette ADR","Monogas","Bundle","Azoto compresso","Azoto compresso",25,"ADR_Bundle_Azoto-compresso_small.jpg||ADR_Bundle_Azoto-compresso_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27927,"ADR0082","Italy","Etichette ADR","Monogas","Bundle","Azoto compresso E941","Azoto compresso E941",25,"ADR_Bundle_Azoto-compresso-E941_small.jpg||ADR_Bundle_Azoto-compresso-E941_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27928,"ADR0083","Italy","Etichette ADR","Monogas","Bundle","Azoto liquido refrigerato","Azoto liquido refrigerato",25,"ADR_Bundle_Azoto-liquido-refrigerato_small.jpg||ADR_Bundle_Azoto-liquido-refrigerato_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27929,"ADR0084","Italy","Etichette ADR","Monogas","Bundle","Argon compresso","Argon compresso",25,"ADR_Bundle_Azoto-liquido-refrigerato_small.jpg||ADR_Bundle_Azoto-liquido-refrigerato_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27930,"ADR0085","Italy","Etichette ADR","Monogas","Bundle","Argon compresso E938","Argon compresso E938",25,"ADR_Bundle_Argon-compresso-E938_small.jpg||ADR_Bundle_Argon-compresso-E938_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27931,"ADR0086","Italy","Etichette ADR","Monogas","Bundle","Elio compresso","Elio compresso",25,"ADR_Bundle_Elio-compresso_small.jpg||ADR_Bundle_Elio-compresso_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27932,"ADR0087","Italy","Etichette ADR","Monogas","Bundle","Elio liquido refrigerato","Elio liquido refrigerato",25,"ADR_Bundle_Elio-liquido-refrigerato_small.jpg||ADR_Bundle_Elio-liquido-refrigerato_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27933,"ADR0088","Italy","Etichette ADR","Miscele","Bundle","Enermix AX155","Enermix AX155",25,"ADR_Bundle_Enermix-AX-155_small.jpg||ADR_Bundle_Enermix-AX-155_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
27934,"ADR0089","Italy","Etichette ADR","Miscele","Bundle","Enermix C3","Enermix C3",25,"ADR_Bundle_Enermix-C3_small.jpg||ADR_Bundle_Enermix-C3_large.jpg||ADR_Bundle_Enermix-verde-photo_large.jpg",
