"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"MU061","Italy","Supporti e accessori PC","DVD","DVD+RW 4,7 GB","DVD+RW 4,7 GB",1,"1.47",FALSO,FALSO,"SMR","N012",,
"MU062","Italy","Supporti e accessori PC","DVD","DVD-RW 4,7 GB","DVD-RW 4,7 GB",1,"1.47",FALSO,FALSO,"SMR","N012",,
"MU063","Italy","Supporti e accessori PC","DVD","DVD-R 4,7 GB","DVD-R 4,7 GB",1,"1.11",FALSO,FALSO,"SMR","N012",,
"MU064","Italy","Supporti e accessori PC","DVD","DVD+R 4,7GB","DVD+R 4,7GB",1,"1.11",FALSO,FALSO,"SMR","N012",,
"MU065","Italy","Toner e cartucce","Canon","Toner FX2","Toner FX2",1,"55.28",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU066","Italy","Toner e cartucce","Canon","Toner FX3","Toner FX3",1,"45.79",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU067","Italy","Toner e cartucce","Canon","Toner FX4","Toner FX4",1,"69.72",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU068","Italy","Toner e cartucce","Canon","Toner Cartridge T per fax Canon L380 - L390 - L400","Toner Cartridge T per fax Canon L380 - L390 - L400",1,"72.74",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU069","Italy","Toner e cartucce","Canon","Toner FX3","Toner FX3",2,"99.00",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU070","Italy","Toner e cartucce","Canon","Cartuccia Canon Bci-3 Black","Cartuccia Canon Bci-3 Black",1,"9.81",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU071","Italy","Toner e cartucce","Canon","Toner FX10","Toner FX10",1,"52.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU072","Italy","Toner e cartucce","Canon","Cartuccia Canon BC 02","Cartuccia Canon BC 02",1,"21.37",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU073","Italy","Toner e cartucce","Canon","Cartuccia Canon BC 05","Cartuccia Canon BC 05",1,"27.06",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU074","Italy","Toner e cartucce","Canon","Ink jet CLI 8C ciano","Ink jet CLI 8C ciano",1,"10.35",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU075","Italy","Toner e cartucce","Canon","Ink jet CLI 8M magenta","Ink jet CLI 8M magenta",1,"10.35",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU076","Italy","Toner e cartucce","Canon","Ink jet CLI 8Y giallo","Ink jet CLI 8Y giallo",1,"10.35",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU077","Italy","Toner e cartucce","Canon","Ink jet PGI-5BK nero","Ink jet PGI-5BK nero",1,"11.64",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU078","Italy","Toner e cartucce","Canon","Cartuccia PG 40B nero","Cartuccia PG 40B nero",1,"13.43",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU079","Italy","Toner e cartucce","Canon","Cartuccia CL41C colori","Cartuccia CL41C colori",1,"16.80",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU080","Italy","Toner e cartucce","Canon","Toner Canon C-EXV3","Toner Canon C-EXV3",1,"38.14",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU081","Italy","Toner e cartucce","Canon","Toner Canon IR 2200","Toner Canon IR 2200",1,"38.14",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU082","Italy","Toner e cartucce","Canon","Toner Canon LBP 5200 (9287A003)","Toner Canon LBP 5200 (9287A003)",1,"62.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU083","Italy","Toner e cartucce","EPSON","Nastro nylon nero 7754 S015022","Nastro nylon nero 7754 S015022",1,"4.69",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU084","Italy","Toner e cartucce","EPSON","Cartuccia nero T0611","Cartuccia nero T0611",1,"6.78",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU085","Italy","Toner e cartucce","EPSON","Kit Multipack T0615","Kit Multipack T0615",1,"23.68",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU086","Italy","Toner e cartucce","EPSON","Kit Multipack T0715","Kit Multipack T0715",1,"32.06",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU087","Italy","Toner e cartucce","EPSON","Inkjet Epson 70441 nero (Stylus C64)","Inkjet Epson 70441 nero (Stylus C64)",1,"15.58",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU088","Italy","Toner e cartucce","EPSON","Inkjet Epson T0453","Inkjet Epson T0453",1,"9.75",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU089","Italy","Toner e cartucce","EPSON","Inkjet Epson 70441 ciano (Stylus C64)","Inkjet Epson 70441 ciano (Stylus C64)",1,"11.10",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU090","Italy","Toner e cartucce","EPSON","Inkjet Epson 70444 giallo (Stylus C64)","Inkjet Epson 70444 giallo (Stylus C64)",1,"11.10",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU091","Italy","Toner e cartucce","EPSON","Ink jet Epson C13T04104020","Ink jet Epson C13T04104020",1,"30.55",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU092","Italy","Toner e cartucce","EPSON","Cartuccia Nero D78 (T071140)","Cartuccia Nero D78 (T071140)",1,"8.18",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU093","Italy","Toner e cartucce","EPSON","Ink jet Epson T0801 nero","Ink jet Epson T0801 nero",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU094","Italy","Toner e cartucce","EPSON","Ink jet Epson T0804 giallo","Ink jet Epson T0804 giallo",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU095","Italy","Toner e cartucce","EPSON","Ink jet Epson T0805 ciano chiaro","Ink jet Epson T0805 ciano chiaro",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU096","Italy","Toner e cartucce","EPSON","Ink jet Epson T0806 magenta chiaro","Ink jet Epson T0806 magenta chiaro",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU097","Italy","Toner e cartucce","EPSON","Ink jet Epson T0803 magenta","Ink jet Epson T0803 magenta",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU098","Italy","Toner e cartucce","EPSON","Ink jet Epson T0802 ciano","Ink jet Epson T0802 ciano",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU099","Italy","Toner e cartucce","EPSON","Cartuccia Epson T040","Cartuccia Epson T040",1,"30.80",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU100","Italy","Toner e cartucce","EPSON","Ink jet T0712 ciano","Ink jet T0712 ciano",1,"8.43",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU101","Italy","Toner e cartucce","EPSON","Ink jet T0713 magenta","Ink jet T0713 magenta",1,"8.43",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU102","Italy","Toner e cartucce","EPSON","Ink jet T0714 giallo","Ink jet T0714 giallo",1,"8.43",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU103","Italy","Toner e cartucce","EPSON","Toner Epson Laser M1200 (S050522)","Toner Epson Laser M1200 (S050522)",1,"53.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU104","Italy","Toner e cartucce","HP","Toner per stampanti laser HP",,,,FALSO,FALSO,"SMR","N010",VERO,FALSO
"MU105","Italy","Toner e cartucce","HP","Cartucce per stampanti inkjet HP",,,,FALSO,FALSO,"SMR","N010",VERO,FALSO
"MU106","Italy","Toner e cartucce","HP","Accessori per stampanti HP",,,,FALSO,FALSO,"SMR","N010",VERO,FALSO
"MU107","Italy","Toner e cartucce","Lexmark","Nastro serie 23xx/24xx 11A3540","Nastro serie 23xx/24xx 11A3540",6,"44.52",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU108","Italy","Toner e cartucce","Lexmark","Toner Lexmark 64016HE","Toner Lexmark 64016HE",1,"240.05",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU109","Italy","Toner e cartucce","Lexmark","Cartuccia N.17 nero","Cartuccia N.17 nero",1,"14.24",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU110","Italy","Toner e cartucce","Lexmark","Cartuccia N.26 color","Cartuccia N.26 color",1,"24.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU111","Italy","Toner e cartucce","Minolta","Cartuccia nero Minolta Page 1390 MF","Cartuccia nero Minolta Page 1390 MF",1,"91.10",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU112","Italy","Toner e cartucce","Minolta","Toner fax 1600 F","Toner fax 1600 F",1,"108.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU113","Italy","Toner e cartucce","Oki","Toner Oki Page 14ex","Toner Oki Page 14ex",1,"56.20",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU114","Italy","Toner e cartucce","Ricoh","Toner Ricoh 1220D","Toner Ricoh 1220D",1,"30.90",FALSO,VERO,"SMR","N010",FALSO,VERO
"MU115","Italy","Toner e cartucce","Ricoh","Toner Ricoh 2220D","Toner Ricoh 2220D",1,"23.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU116","Italy","Toner e cartucce","Ricoh","Toner Ricoh 1140L SP1000","Toner Ricoh 1140L SP1000",1,"84.86",FALSO,FALSO,"SMR","N010",FALSO,VERO
"MU117","Italy","Toner e cartucce","Ricoh","Toner Ricoh type 1027","Toner Ricoh type 1027",1,"21.41",FALSO,FALSO,"SMR","N010",FALSO,VERO
"MU118","Italy","Toner e cartucce","Ricoh","Toner Ricoh K163","Toner Ricoh K163",1,"67.19",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU119","Italy","Toner e cartucce","Samsung","Toner MLT-D1082S","Toner MLT-D1082S",1,"43.59",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU120","Italy","Toner e cartucce","Samsung","Toner laser Samsung SCX 4216","Toner laser Samsung SCX 4216",1,"68.70",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU121","Italy","Toner e cartucce","Samsung","Toner laser Samsung K300A nero","Toner laser Samsung K300A nero",1,"42.77",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU122","Italy","Toner e cartucce","Samsung","Toner CLP M300A magenta","Toner CLP M300A magenta",1,"32.21",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU123","Italy","Toner e cartucce","Samsung","Toner CLP Y300A giallo","Toner CLP Y300A giallo",1,"31.74",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU124","Italy","Toner e cartucce","Samsung","Toner CLP C300A ciano","Toner CLP C300A ciano",1,"32.21",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU125","Italy","Toner e cartucce","Toner compatibili","Toner HP 5949X compatibile","Toner HP 5949X compatibile",1,"59.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU126","Italy","Toner e cartucce","Toner compatibili","Toner HP 2612A compatibile","Toner HP 2612A compatibile",1,"34.50",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU127","Italy","Toner e cartucce","Toner compatibili","Toner FX3 compatibile","Toner FX3 compatibile",1,"24.50",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU128","Italy","Toner e cartucce","Toner compatibili","Toner HP 4096A compatibile","Toner HP 4096A compatibile",1,"39.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU129","Italy","Toner e cartucce","Toner compatibili","Toner HP 7115X compatibile","Toner HP 7115X compatibile",1,"33.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU130","Italy","Toner e cartucce","Toner compatibili","Toner HP 3906A compatibile","Toner HP 3906A compatibile",1,"22.90",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU131","Italy","Toner e cartucce","Toner compatibili","Toner HP 6470A compatibile","Toner HP 6470A compatibile",1,"73.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU132","Italy","Toner e cartucce","Toner compatibili","Toner HP 6471A compatibile","Toner HP 6471A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU133","Italy","Toner e cartucce","Toner compatibili","Toner HP 6472A compatibile","Toner HP 6472A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU134","Italy","Toner e cartucce","Toner compatibili","Toner HP 6473A compatibile","Toner HP 6473A compatibile",1,"75.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU135","Italy","Toner e cartucce","Toner compatibili","Toner Lexmark 250 compatibile","Toner Lexmark 250 compatibile",1,"47.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU136","Italy","Toner e cartucce","Toner compatibili","Toner HP 92298X compatibile","Toner HP 92298X compatibile",1,"41.00",FALSO,VERO,"SMR","N012",FALSO,VERO
"MU137","Italy","Toner e cartucce","Toner compatibili","Toner HP 7553X compatibile","Toner HP 7553X compatibile",1,"65.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
"MU138","Italy","Toner e cartucce","Toner compatibili","Toner HP 7551X compatibile","Toner HP 7551X compatibile",1,"98.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
