"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"CBP057","Italy","Penne, accessori","Penne roller","Penna Roller Hi-Tecpoint V5 0,5mm blu (confezione da 12 pezzi)","Penna Roller Hi-Tecpoint V5 0,5mm blu (cf12)",12,"13.80","Penna-Roller-Hi-Tecpoint-V5-0,5mm.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP058","Italy","Penne, accessori","Penne roller","Penna Roller Hi-Tecpoint V5 0,5mm nero (confezione da 12 pezzi)","Penna Roller Hi-Tecpoint V5 0,5mm nero (cf12)",12,"13.80","Penna-Roller-Hi-Tecpoint-V5-0,5mm.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP059","Italy","Carta, buste","Blocchi, quaderni","Tavoletta portablocco blu","Tavoletta portablocco blu",1,"1.68","tavoletta-portablocco.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP059","Italy","Penne, accessori","Penne roller","Penna Roller Hi-Tecpoint V5 0,5mm rosso (confezione da 12 pezzi)","Penna Roller Hi-Tecpoint V5 0,5mm rosso (cf12)",12,"13.80","Penna-Roller-Hi-Tecpoint-V5-0,5mm.jpg",,FALSO,VERO,"SMR","N010",,
"CBP060","Italy","Carta, buste","Blocchi, quaderni","Tavoletta portablocco rosso","Tavoletta portablocco rosso",1,"1.68","tavoletta-portablocco.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP060","Italy","Penne, accessori","Penne roller","Roller Bionic Worker blu","Roller Bionic Worker blu",10,"14.30","Roller-Bionic-Worker.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP061","Italy","Carta, buste","Blocchi, quaderni","Quaderno monocromo A4 quadretti","Quaderno monocromo A4 quadretti",10,"5.80","Quaderno-monocromo-A4-A5-quadretti.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP061","Italy","Penne, accessori","Penne roller","Roller Bionic Worker nero","Roller Bionic Worker nero",10,"14.30","Roller-Bionic-Worker.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP062","Italy","Carta, buste","Blocchi, quaderni","Quaderno monocromo A4 righe","Quaderno monocromo A4 righe",10,"5.87","Quaderno-monocromo-A4-A5-righe.jpg",,FALSO,VERO,"SMR","N010",,
"CBP062","Italy","Penne, accessori","Penne roller","Roller Bionic Worker rosso","Roller Bionic Worker rosso",10,"14.30","Roller-Bionic-Worker.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP063","Italy","Carta, buste","Blocchi, quaderni","Quaderno monocromo A5 quadretti","Quaderno monocromo A5 quadretti",10,"3.41","Quaderno-monocromo-A4-A5-quadretti.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP063","Italy","Penne, accessori","Penne roller","Roller Bionic Worker verde","Roller Bionic Worker verde",10,"14.30","Roller-Bionic-Worker.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP064","Italy","Carta, buste","Blocchi, quaderni","Quaderno monocromo A5 righe","Quaderno monocromo A5 righe",10,"3.41","Quaderno-monocromo-A4-A5-righe.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP064","Italy","Penne, accessori","Refill","Refill Pelikan per stiloforo nero","Refill Pelikan per stiloforo nero",1,"0.71","Refill-Pelikan-per-stiloforo.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP065","Italy","Carta, buste","Carta intestata","Risma di carta intestata SOL da 500 fogli (primo foglio)","Risma di carta intestata SOL da 500 fogli (primo foglio)",2,"80.00","risma_carta-intestata-sol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP065","Italy","Penne, accessori","Refill","Refill Pelikan per stiloforo blu","Refill Pelikan per stiloforo blu",1,"0.71","Refill-Pelikan-per-stiloforo.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP066","Italy","Carta, buste","Carta intestata","Risma di carta intestata VIVISOL da 500 fogli (primo foglio)","Risma di carta intestata VIVISOL da 500 fogli (primo foglio)",2,"80.00","risma_carta-intestata-vivisol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP066","Italy","Carta, buste","Post-it","Notes 100 fg. 51X 76 giallo","Notes 100 fg. 51X 76 giallo (confezione da 12 pezzi)",12,"1.62","Notes-100-fg.-51X-76-giallo.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP067","Italy","Carta, buste","Carta intestata","Carta intestata SOL fogli successivi","Carta intestata SOL fogli successivi",500,"80.00","risma_carta-seguito-sol.jpg",,FALSO,VERO,"SMR","N010",,
"CBP068","Italy","Carta, buste","Carta intestata","Carta intestata VIVISOL fogli successivi","Carta intestata VIVISOL fogli successivi",500,"80.00","risma_carta-seguito-vivisol.jpg",,FALSO,FALSO,"SMR","N010",,
