"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
13827,"EC098","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Alisol 127, 145, 343 e 433","Etich. ADR per Alisol 127, 145, 343 e 433",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13828,"EC099","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Alisol 307","Etich. ADR per Alisol 307",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13829,"EC100","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Alisol 352 e 370","Etich. ADR per Alisol 352 e 370",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13830,"EC101","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Alisol da 460 a 721","Etich. ADR per Alisol da 460 a 721",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13831,"EC102","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Alisol 730, 820 e 910","Etich. ADR per Alisol 730, 820 e 910",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13832,"EC103","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Arcox","Etich. ADR per Arcox",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13833,"EC104","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per aria","Etich. ADR per Aria",1500,"75.00",,FALSO,FALSO,"SMR","N011",,
13834,"EC105","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Azoidro 5","Etich. ADR per Azoidro 5",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13835,"EC106","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Azoidro da 10 a 50","Etich. ADR per Azoidro da 10 a 50",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13836,"EC107","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per CAR da 10 a 20","Etich. ADR CAR 10-20",1500,"75.00",,FALSO,FALSO,"SMR","N011",,
13837,"EC108","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per CAR 3, 5 e 25","Etich. ADR CAR 3,5 e 25",1500,"75.00",,FALSO,FALSO,"SMR","N011",,
13838,"EC109","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Eliargo","Etich. ADR Eliargo",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13839,"EC110","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Enermix 3","Etich. ADR Enermix 3",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13840,"EC111","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Enermix BS","Etich. ADR Enermix BS",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13841,"EC112","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Enermix M11a, 112a e 121","Etich. ADR Enermix M11a, 112a e 121",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13842,"EC113","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Enermix M12a, 14a, 23a e 241a","Etich. ADR Enermix M12a,14a,23a, 241a",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13843,"EC114","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Enermix M131a","Etich. ADR Enermix M131a",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13844,"EC115","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Enermix M21a e 24","Etich. ADR Enermix M21a, 24",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13845,"EC116","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Idrargo 20, 25 e 35 e R11a","Etich. ADR Idrargo 20,25,35,R11a",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13846,"EC117","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Enersafe","Etich. ADR Enersafe",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13847,"EC118","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Goldmix","Etich. ADR Goldmix",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13848,"EC119","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Idrargo 5, 7 e 15","Etich. ADR Idrargo 5,7,15",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13849,"EC120","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Idrargo 2","Etich. ADR Idrargo 20,25,35,R11a",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13850,"EC121","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per MAPP","Etich. ADR MAPP",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13851,"EC122","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Meforex 134a","Etich. ADR Meforex 134a",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13852,"EC123","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Meforex DI24","Etich. ADR Meforex DI24",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13853,"EC124","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Meforex M55 e M57","Etich. ADR Meforex M55,M57",1,"0.05",,FALSO,FALSO,"SMR","N011",,
13854,"EC125","Italy","Etichette ADR bombole","ADR bombole miscele","Etichette ADR per Meforex M95","Etich. ADR Meforex M95",1,"0.05",,FALSO,FALSO,"SMR","N011",,
