"Errors";"Object";"ID";"Country";"Vessel";"Vessel Material";"Capacity";"Diameter";"Pressure";"Markets";"GAS";"Body Color";"Shoulder color";"Cap Type";"Material";"PaintingType";"Valve Type";"Valve Material";"Thread gas outelet";"Norm";"Outlet Gas";"Deep tube";"Deep Tube Material";"Stamping";"Description Certificate";"Description";"Solvent";"Price";"Image"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2000";"ITALY";"Cylinder";"Steel";"40";"229";;"Medical";"Carbon Dioxide (CO2)";"White RAL 9010";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"D 27 x 2";"ISO 5145 Gr.2";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"145.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2001";"ITALY";"Cylinder";"Steel";"40";"229";;"Medical";"Carbon Dioxide (CO2)";"White RAL 9010";"Gray RAL 7037";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"D 27 x 2";"ISO 5145 Gr.2";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"149.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2002";"ITALY";"Cylinder";"Steel";"40";"229";;"Medical";"Carbon Dioxide (CO2)";"White RAL 9010";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Standard (25E)";"Brass";"D 27 x 2";"ISO 5145 Gr.2";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"143.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2003";"ITALY";"Cylinder";"Steel";"40";"229";;"Medical";"Carbon Dioxide (CO2)";"White RAL 9010";"Gray RAL 7037";"DIN closed";"Steel";"Galvanized";"Residual (25E)";"Brass";"D 27 x 2";"ISO 5145 Gr.2";"Standard (derived from the gas, intended use, country)";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"149.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2004";"ITALY";"Cylinder";"Steel";"50";"229";;"Medical";"Carbon Dioxide (CO2)";"White RAL 9010";"Gray RAL 7037";"NO CAP";"NO CAP";"NO CAP";"NO VALVE";"NO VALVE";;;"NO VALVE";"Yes";"Alluminio";"2° A - 2° O";"2° A - 2° O";;;"157.00";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2005";"ITALY";"Cylinder";"Steel";"1";"102";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"Tulip";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"54.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2006";"ITALY";"Cylinder";"Steel";"1";"102";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"Tulip";"Steel";"Galvanized";"Standard mignon (17E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"54.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2007";"ITALY";"Cylinder";"Steel";"1";"102";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"Tulip";"Steel";"Galvanized";"Residual (25E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"57.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2008";"ITALY";"Cylinder";"Steel";"1";"102";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"Tulip";"Steel";"Galvanized";"Residual mignon (17E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"57.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
"Input error: <em>SI</em> is not allowed for <em>Deep Tube</em> (not in allowed values list).";"0";"CYL2009";"ITALY";"Cylinder";"Steel";"1";"102";"200";"Industrial";"Inert Mixture";"Aluminum RAL 9006";"Verde brillante Ral 6018";"DIN closed";"Steel";"Galvanized";"Standard (25E)";"Brass";"W 24,5 x 1/14""";"UNI 4412";"MIX Ar/He";"Yes";"Polietilene";"1° A - 1° O";"1° A - 1° O";;;"52.50";"imagecache/cylinder/ITA-O2-IND-T.jpg"
