"Object","ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
12016,"MU081","Italy","Toner, cartucce","Canon","Toner Canon IR 2200","Toner Canon IR 2200",1,"38.14",FALSO,FALSO,"SMR","N012",FALSO,VERO
12017,"MU082","Italy","Toner, cartucce","Canon","Toner Canon LBP 5200 (9287A003)","Toner Canon LBP 5200 (9287A003)",1,"62.00",FALSO,FALSO,"SMR","N012",FALSO,VERO
12018,"MU083","Italy","Toner, cartucce","EPSON","Nastro nylon nero 7754 S015022","Nastro nylon nero 7754 S015022",1,"4.69",FALSO,FALSO,"SMR","N012",FALSO,VERO
12019,"MU084","Italy","Toner, cartucce","EPSON","Cartuccia nero T0611","Cartuccia nero T0611",1,"6.78",FALSO,VERO,"SMR","N012",FALSO,VERO
12020,"MU085","Italy","Toner, cartucce","EPSON","Kit Multipack T0615","Kit Multipack T0615",1,"23.68",FALSO,FALSO,"SMR","N012",FALSO,VERO
12021,"MU086","Italy","Toner, cartucce","EPSON","Kit Multipack T0715","Kit Multipack T0715",1,"32.06",FALSO,FALSO,"SMR","N012",FALSO,VERO
12022,"MU087","Italy","Toner, cartucce","EPSON","Inkjet Epson 70441 nero (Stylus C64)","Inkjet Epson 70441 nero (Stylus C64)",1,"15.58",FALSO,FALSO,"SMR","N012",FALSO,VERO
12023,"MU088","Italy","Toner, cartucce","EPSON","Inkjet Epson T0453","Inkjet Epson T0453",1,"9.75",FALSO,FALSO,"SMR","N012",FALSO,VERO
12024,"MU089","Italy","Toner, cartucce","EPSON","Inkjet Epson 70441 ciano (Stylus C64)","Inkjet Epson 70441 ciano (Stylus C64)",1,"11.10",FALSO,FALSO,"SMR","N012",FALSO,VERO
12025,"MU090","Italy","Toner, cartucce","EPSON","Inkjet Epson 70444 giallo (Stylus C64)","Inkjet Epson 70444 giallo (Stylus C64)",1,"11.10",FALSO,FALSO,"SMR","N012",FALSO,VERO
12026,"MU091","Italy","Toner, cartucce","EPSON","Ink jet Epson C13T04104020","Ink jet Epson C13T04104020",1,"30.55",FALSO,FALSO,"SMR","N012",FALSO,VERO
12027,"MU092","Italy","Toner, cartucce","EPSON","Cartuccia Nero D78 (T071140)","Cartuccia Nero D78 (T071140)",1,"8.18",FALSO,FALSO,"SMR","N012",FALSO,VERO
12028,"MU093","Italy","Toner, cartucce","EPSON","Ink jet Epson T0801 nero","Ink jet Epson T0801 nero",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
12029,"MU094","Italy","Toner, cartucce","EPSON","Ink jet Epson T0804 giallo","Ink jet Epson T0804 giallo",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
12030,"MU095","Italy","Toner, cartucce","EPSON","Ink jet Epson T0805 ciano chiaro","Ink jet Epson T0805 ciano chiaro",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
12031,"MU096","Italy","Toner, cartucce","EPSON","Ink jet Epson T0806 magenta chiaro","Ink jet Epson T0806 magenta chiaro",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
12032,"MU097","Italy","Toner, cartucce","EPSON","Ink jet Epson T0803 magenta","Ink jet Epson T0803 magenta",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
12033,"MU098","Italy","Toner, cartucce","EPSON","Ink jet Epson T0802 ciano","Ink jet Epson T0802 ciano",1,"7.34",FALSO,FALSO,"SMR","N012",FALSO,VERO
12034,"MU099","Italy","Toner, cartucce","EPSON","Cartuccia Epson T040","Cartuccia Epson T040",1,"30.80",FALSO,FALSO,"SMR","N012",FALSO,VERO
12035,"MU100","Italy","Toner, cartucce","EPSON","Ink jet T0712 ciano","Ink jet T0712 ciano",1,"8.43",FALSO,FALSO,"SMR","N012",FALSO,VERO
12036,"MU101","Italy","Toner, cartucce","EPSON","Ink jet T0713 magenta","Ink jet T0713 magenta",1,"8.43",FALSO,FALSO,"SMR","N012",FALSO,VERO
12037,"MU102","Italy","Toner, cartucce","EPSON","Ink jet T0714 giallo","Ink jet T0714 giallo",1,"8.43",FALSO,FALSO,"SMR","N012",FALSO,VERO
